date,time,sport,home_team,away_team,kelly_bet_name,kelly_prob,kelly_prob_odds_implied,kelly_odds,multiple HK stake
2020-07-16,17:00:00,soccer_sweden_allsvenskan,Kalmar FF,Hammarby IF,Hammarby IF,0.5966,0.47619047619047616,2.1,0.07734727176981643
2020-07-16,17:30:00,soccer_italy_serie_a,Torino,Genoa,Genoa,0.3986,0.30303030303030304,3.3,0.04384134635777717
2020-07-16,19:00:00,soccer_spain_la_liga,Mallorca,Granada,Granada,0.3811,0.2857142857142857,3.5,0.04261423823702099
2020-07-16,17:00:00,soccer_epl,Leicester City,Sheffield United,Leicester City,0.5859,0.5235602094240838,1.91,0.041694047272945886
2020-07-16,19:00:00,soccer_spain_la_liga,Real Betis,Alavés,Real Betis,0.486,0.42016806722689076,2.38,0.035846606843277125
2020-07-16,16:00:00,soccer_norway_eliteserien,Stabaek,Sarpsborg FK,Stabaek,0.4651,0.4,2.5,0.03416531562571242
2020-07-16,16:15:00,soccer_switzerland_superleague,Neuchâtel Xamax,FC Sion,FC Sion,0.3963,0.3333333333333333,3.0,0.029521856038975194
2020-07-16,19:00:00,soccer_spain_la_liga,Real Sociedad,Sevilla,Sevilla,0.3679,0.3472222222222222,2.88,0.009585264253826239
2020-07-16,17:30:00,soccer_russia_premier_league,Lokomotiv Moscow,CSKA Moscow,CSKA Moscow,0.4238,0.4166666666666667,2.4,0.0036641338109937825
2020-07-16,17:30:00,soccer_russia_premier_league,Tambov,FK Sochi,Tambov,0.4043,0.4,2.5,0.0021419447827522404
